Rank,Name,Symbol,marketcap,price (SGD),country,ticker,cik
49,Spotify,SPOT,134316341096.72,652.35670905113,Sweden,SPOT,0001037388
50,Dell,DELL,128617300041.45,191.90877814293,United States,DELL,0000826083
50,Dell,DELL,128617300041.45,191.90877814293,United States,DELL,0001571996
51,Delta Electronics (Thailand),DELTA.BK,126757544698.62,10.161884081936,Thailand,,
52,Equinix,EQIX,122193455608.59,1243.6369868755,United States,EQIX,0001101239
53,Foxconn (Hon Hai Precision Industry),2317.TW,119852726046.67,8.5837541016579,Taiwan,,
54,Keyence,6861.T,118601971970.87,489.03006211758,Japan,,
55,Sandisk,SNDK,116927813708.12,792.18858041763,United States,SNDK,0001000180
55,Sandisk,SNDK,116927813708.12,792.18858041763,United States,SNDK,0002023554
56,MediaTek,2454.TW,109860438197.59,68.830104013443,Taiwan,,
57,MercadoLibre,MELI,109032843051.84,2150.6687164307,Argentina,MELI,0001099590
58,Automatic Data Processing,ADP,107409119468.28,265.56918168068,United States,ADP,0000008670
59,Seagate Technology,STX,107253092836.17,478.75421819687,Ireland,STX,0001137789
60,Synopsys,SNPS,102682722723.28,536.02857437134,United States,SNPS,0000883241
61,Cadence Design Systems,CDNS,102530796535.66,371.65603675842,United States,CDNS,0000813672
62,SMIC,0981.HK,100208714599.04,10.113929290199,China,,
63,Marvell Technology,MRVL,98028686763.438,112.23162283897,United States,MRVL,0000105805
63,Marvell Technology,MRVL,98028686763.438,112.23162283897,United States,MRVL,0001058057
63,Marvell Technology,MRVL,98028686763.438,112.23162283897,United States,MRVL,0001835632
64,Airbnb,ABNB,98006401739.023,163.47642564774,United States,ABNB,0001559720
65,Nintendo,7974.T,95900376753.587,82.093969274044,Japan,,
66,NetEase,NTES,95738363042.539,148.84419741631,China,,
67,Cloudflare,NET,95574869616.367,271.53472704887,United States,NET,0000890801
67,Cloudflare,NET,95574869616.367,271.53472704887,United States,NET,0001477333
68,DoorDash,DASH,89954869610.039,207.06587195396,United States,DASH,0001792789
69,Robinhood,HOOD,87731254143.398,97.445775413513,United States,HOOD,0001783879
70,Cambricon Technologies,688256.SS,85894523827.846,203.69393064499,China,,
71,Fortinet,FTNT,80347837533.418,108.04549980164,United States,FTNT,0001262039
72,Snowflake,SNOW,77648035665.098,226.90835118294,United States,SNOW,0001587755
72,Snowflake,SNOW,77648035665.098,226.90835118294,United States,SNOW,0001640147
73,Infineon,IFX.DE,77096545779.705,59.207525715351,Germany,,
74,Meituan,3690.HK,76044632178.208,12.452307860136,China,,
75,TE Connectivity,TEL,74342804740.566,253.26684455872,Switzerland,TEL,0001385157
76,Autodesk,ADSK,67818625262.5,319.89916996956,United States,ADSK,0000769397
77,Coinbase,COIN,66703933584.844,247.36530718803,United States,COIN,0001366340
77,Coinbase,COIN,66703933584.844,247.36530718803,United States,COIN,0001679788
78,Monolithic Power Systems,MPWR,65009233509.414,1323.531769371,United States,MPWR,0001280452
79,Sea Limited,SE,64541080203.594,109.01842136383,Singapore,SE,0000092344
79,Sea Limited,SE,64541080203.594,109.01842136383,Singapore,SE,0001373835
80,Electronic Arts,EA,63778219247.852,254.85424289703,United States,EA,0000712515
81,Keysight,KEYS,62192222899.746,362.00363073349,United States,KEYS,0000355199
81,Keysight,KEYS,62192222899.746,362.00363073349,United States,KEYS,0001012393
81,Keysight,KEYS,62192222899.746,362.00363073349,United States,KEYS,0001601046
82,NXP Semiconductors,NXPI,61857234412.754,244.79218568802,Netherlands,NXPI,0001413447
83,NAURA Technology Group,002371.SZ,61676024351.208,85.090055621624,China,,
84,Disco Corp.,6146.T,60629445850.868,559.15466387272,Japan,,
85,ASE Group,ASX,58767098543.867,26.870557355881,Taiwan,,
86,"Strategy 
 (MicroStrategy)",MSTR,58679452853.73,175.81716756821,United States,MSTR,0001050446
87,Nokia,NOK,58172811999.863,10.420501995087,Finland,,
88,Garmin,GRMN,58085344589.922,301.77210507393,Switzerland,GRMN,0001121788
89,Coherent Corp.,COHR,57906435170.391,308.86419119835,United States,COHR,0000021510
89,Coherent Corp.,COHR,57906435170.391,308.86419119835,United States,COHR,0000820318
90,Datadog,DDOG,57601738585.996,162.7851392746,United States,DDOG,0001561550
91,Lumentum,LITE,56312736069.141,788.69374375343,United States,LITE,0001033491
91,Lumentum,LITE,56312736069.141,788.69374375343,United States,LITE,0001633978
92,Baidu,BIDU,54962730264.277,157.66449947357,China,,
93,CoreWeave,CRWV,53742973872.695,102.23357362747,United States,CRWV,0001769628
94,Murata Manufacturing (Murata Seisakusho),6981.T,53369766723.732,29.319247308731,Japan,,
95,PayPal,PYPL,53133706548.75,56.787895393372,United States,PYPL,0001633917
96,JD.com,JD,52771839700.547,35.767669010162,China,,
97,Constellation Software,CSU.TO,52151024720.654,2460.9410835743,Canada,,
98,eBay,EBAY,52076908742.754,115.21439552307,United States,EBAY,0001065088
99,ASM International,ASM.AS,51094019396.889,1040.6535450029,Netherlands,,
100,Take-Two Interactive,TTWO,49591740498.984,267.80946159363,United States,TTWO,0000946581
101,Ericsson,ERIC,49181292297.559,14.619426631927,Sweden,,
102,Panasonic,6752.T,48956521986.314,20.969276017189,Japan,,
103,Roper Technologies,ROP,47783900665.488,443.9338675499,United States,ROP,0000882835
104,Block,XYZ,46596717114.297,76.681581020355,United States,XYZ,0001512673
105,Workday,WDAY,45849413727.363,171.72065572739,United States,WDAY,0001327811
106,NEC Corp,6701.T,45587069249.395,34.195120527267,Japan,,
107,Quanta Computer,2382.TW,44577729393.537,11.565054601812,Taiwan,,
108,Microchip Technology,MCHP,43455577378.945,80.304433679581,United States,MCHP,0000827054
109,Trip.com,TCOM,43450711378.32,66.478706216812,China,TCOM,0001139570
110,Coupang,CPNG,43390604734.824,23.734165477753,United States,CPNG,0001834584
111,AST SpaceMobile,ASTS,42591904216.289,111.48913006783,United States,ASTS,0001780312
112,Adyen,ADYEN.AS,42532724257.538,1348.6741107941,Netherlands,,
113,Kuaishou Technology,1024.HK,42133479168.531,9.6805951470375,China,,
114,Symbotic,SYM,38997652255.713,64.750490283966,United States,SYM,0000724742
114,Symbotic,SYM,38997652255.713,64.750490283966,United States,SYM,0001837240
115,Circle Internet Group,CRCL,38804944473.418,146.16866312027,United States,CRCL,0001439971
115,Circle Internet Group,CRCL,38804944473.418,146.16866312027,United States,CRCL,0001876042
115,Circle Internet Group,CRCL,38804944473.418,146.16866312027,United States,CRCL,0001911467
116,Fiserv,FISV,38606240708.672,71.778568410873,United States,FISV,0000798354
117,STMicroelectronics,STM,38428453405.664,42.552516746521,Switzerland,,
118,Veeva Systems,VEEV,38044555844.502,231.44011740685,United States,VEEV,0001393052
119,Hewlett Packard Enterprise,HPE,36867612917.471,27.625851726532,United States,HPE,0001645590
120,AMEC,688012.SS,36412395387.278,58.153313996315,China,,
121,GigaDevice Semiconductor,603986.SS,36263396080.561,51.723454614162,China,,
122,PT DCI Indonesia Tbk,DCII.JK,36147276035.881,15.164006674767,Indonesia,,
123,Renesas Electronics,6723.T,35771995501.458,19.772454479694,Japan,,
124,Expedia Group,EXPE,35710141858.242,291.42841267586,United States,EXPE,0001095357
124,Expedia Group,EXPE,35710141858.242,291.42841267586,United States,EXPE,0001324424
125,Dassault Systèmes,DSY.PA,35468474361.21,26.94263036108,France,,
126,IQVIA,IQV,35395424878.164,208.57646069527,United States,IQV,0001478242
127,Nebius Group,NBIS,34994394065.879,138.3084810257,Netherlands,,
128,Amadeus IT Group,AMS.MC,33476515160.583,77.894660589218,Spain,,
129,Fair Isaac (FICO),FICO,33211190982.314,1400.0085247993,United States,FICO,0000814547
130,Fidelity National Information Services,FIS,32656018588.809,63.060679149628,United States,FIS,0001136893
131,Reddit,RDDT,32342578409.541,169.3011534214,United States,RDDT,0001713445
132,Unimicron,3037.TW,32009636098.209,20.328940010071,Taiwan,,
133,Zscaler,ZS,31207072519.082,194.08505005836,United States,ZS,0001713683
134,Canon,7751.T,31110379169.201,35.408072080135,Japan,,
135,Wiwynn,6669.TW,30268120211.113,162.87090999126,Taiwan,,
136,United Microelectronics,UMC,30188657390.43,11.969495534897,Taiwan,,
137,ON Semiconductor,ON,29716621246.826,73.852427530289,United States,ON,0001097864
138,GlobalFoundries,GFS,29596531182.91,53.241852331161,United States,,
139,Nanya Technology,2408.TW,29511844752.76,9.5241596011162,Taiwan,,
140,SoFi,SOFI,28895989642.5,22.658831119537,United States,SOFI,0001818874
141,Qnity Electronics,Q,28729208519.785,137.02832107544,United States,Q,0001037949
141,Qnity Electronics,Q,28729208519.785,137.02832107544,United States,Q,0001366541
141,Qnity Electronics,Q,28729208519.785,137.02832107544,United States,Q,0001478242
141,Qnity Electronics,Q,28729208519.785,137.02832107544,United States,Q,0001595262
141,Qnity Electronics,Q,28729208519.785,137.02832107544,United States,Q,0001689084
141,Qnity Electronics,Q,28729208519.785,137.02832107544,United States,Q,0002058873
142,Naver,035420.KS,28598611607.085,191.31478392601,South Korea,,
143,Leidos,LDOS,28448364776.816,222.50460095406,United States,LDOS,0001336920
144,Zoom,ZM,28406503013.896,95.935186672211,United States,ZM,0001585521
145,Lasertec,6920.T,27180407343.21,301.62744699955,Japan,,
146,Eternal (Zomato),ETERNAL.NS,27134080889.327,2.9777928618908,India,,
147,MongoDB,MDB,26861411483.545,333.71209583282,United States,MDB,0001441816
148,Credo Technology,CRDO,26344514274.912,142.8274456501,United States,CRDO,0001807794
149,Astera Labs,ALAB,26126422538.926,153.49117803574,United States,ALAB,0000926966
149,Astera Labs,ALAB,26126422538.926,153.49117803574,United States,ALAB,0001736297
150,DiDi,DIDIY,25972949508.438,5.3638701915741,China,,
151,Pure Storage,PSTG,25783023421.543,78.089756965637,United States,PSTG,0001474432
152,JD Health,6618.HK,25694185188.163,8.0257323793411,China,,
153,Futu Holdings,FUTU,25489167846.084,183.07567448616,Hong Kong,FUTU,0001552845
154,Global Payments,GPN,25207702744.199,90.059252500534,United States,GPN,0001123360
155,HANMI Semiconductor,042700.KS,24860237860.577,262.09226725578,South Korea,,
156,Atlassian,TEAM,24762120235.459,93.886930751801,Australia,TEAM,0000805054
156,Atlassian,TEAM,24762120235.459,93.886930751801,Australia,TEAM,0001650372
157,NetApp,NTAP,24576499090.928,124.08590397835,United States,NTAP,0001002047
158,Twilio,TWLO,24360066933.818,160.67287535667,United States,TWLO,0000101704
158,Twilio,TWLO,24360066933.818,160.67287535667,United States,TWLO,0001447669
159,PTC,PTC,23986522732.822,201.57398576736,United States,PTC,0000708821
159,PTC,PTC,23986522732.822,201.57398576736,United States,PTC,0000857005
160,Supermicro,SMCI,23753227366.65,39.556942462921,United States,SMCI,0001375365
161,Samsara,IOT,23533628114.307,40.785896015167,United States,IOT,0000105744
161,Samsara,IOT,23533628114.307,40.785896015167,United States,IOT,0000949961
161,Samsara,IOT,23533628114.307,40.785896015167,United States,IOT,0001642896
162,CoStar Group,CSGP,23525442955.928,55.507735443115,United States,CSGP,0001057352
163,Konami Holdings,9766.T,22681421962.642,167.32074597836,Japan,,
164,SS&C Technologies,SSNC,22342425393.418,91.557039642334,United States,SSNC,0001011661
164,SS&C Technologies,SSNC,22342425393.418,91.557039642334,United States,SSNC,0001402436
165,HP,HPQ,22269414409.902,24.259031057358,United States,HPQ,0000047217
166,Wolters Kluwer,WKL.AS,22263862336.996,98.713645828247,Netherlands,,
167,iFLYTEK,002230.SZ,22254399864.462,9.6262395555496,China,,
168,Bandai Namco,7832.T,22173246824.273,34.251319549084,Japan,,
169,Check Point Software,CHKP,21409034187.324,199.42331705093,Israel,,
170,Entegris,ENTG,21386304773.306,140.79199132919,United States,ENTG,0001101302
171,Toast,TOST,20810792706.929,35.332414627075,United States,TOST,0001650164
172,MACOM,MTSI,20736139186.025,276.43773965836,United States,MTSI,0000823560
172,MACOM,MTSI,20736139186.025,276.43773965836,United States,MTSI,0001493594
173,F5,FFIV,20559276056.089,361.88841633797,United States,FFIV,0000923139
173,F5,FFIV,20559276056.089,361.88841633797,United States,FFIV,0001048695
174,VeriSilicon Microelectronics,688521.SS,20379356695.33,38.750313678265,China,,
175,BE Semiconductor,BESI.AS,20301961473.783,257.66419398785,Netherlands,,
176,Trimble,TRMB,20150807289.185,84.69538230896,United States,TRMB,0000864749
177,Grab Holdings,GRAB,19684772371.567,4.8005998134613,Singapore,,
178,Akamai,AKAM,19562571784.751,135.01846995354,United States,AKAM,0000108622
178,Akamai,AKAM,19562571784.751,135.01846995354,United States,AKAM,0001086222
179,Nexon,3659.T,19126929217.482,24.19438297987,Japan,,
180,Kakao,035720.KS,19095243310.31,43.410351929188,South Korea,,
181,Tyler Technologies,TYL,19013312788.018,442.32086601257,United States,TYL,0000860731
182,Lenovo,0992.HK,19006604797.244,1.5322106428623,Hong Kong,,
183,Okta,OKTA,17912415540.474,101.06862807274,United States,OKTA,0001660134
184,Roku,ROKU,17891712752.793,121.3591632843,United States,ROKU,0001428439
185,"QXO, Inc.",QXO,17687647473.35,24.963119029999,United States,QXO,0001236275
186,IREN (Iris Energy),IREN,17570037601.562,52.960217142105,Australia,IREN,0001878848
187,Logitech,LOGI,17537198651.763,118.96526417732,Switzerland,LOGI,0001032975
188,ASUS,2357.TW,17507089735.228,23.57030500412,Taiwan,,
189,Figma,FIG,17478421244.429,33.501785898209,United States,FIG,0001380393
189,Figma,FIG,17478421244.429,33.501785898209,United States,FIG,0001579878
190,LG Electronics,066570.KS,17471781182.783,97.029851445675,South Korea,,
191,Kaspi.kz Joint Stock Company,KKS.F,17465005408.82,90.274319372177,Kazakhstan,,
192,HubSpot,HUBS,17394229733.076,329.80760798454,United States,HUBS,0001404655
193,Guidewire Software,GWRE,17156157506.377,201.79161295891,United States,GWRE,0001528396
194,Nova Ltd.,NVMI,17093135457.334,537.80799670219,Israel,NVMI,0001109345
195,Tower Semiconductor,TSEM,17063961738.608,151.75016050339,Israel,,
196,Inspur,000977.SZ,16862121164.652,11.482727515411,China,,
197,San’an Optoelectronics,600703.SS,16818193512.889,3.37104519701,China,,
198,Gen Digital,GEN,16579400100.4,26.883358955383,United States,GEN,0000849399
198,Gen Digital,GEN,16579400100.4,26.883358955383,United States,GEN,0001126294
198,Gen Digital,GEN,16579400100.4,26.883358955383,United States,GEN,0001342287
198,Gen Digital,GEN,16579400100.4,26.883358955383,United States,GEN,0001351051
199,The Trade Desk,TTD,16162392236.494,33.95624268055,United States,TTD,0001671933
200,Ozon,OZON.ME,15801447554.072,72.533862781525,United States,,
201,360 Security Technology,601360.SS,15609133428.642,2.2300130301476,China,,
202,IonQ,IONQ,15546604576.582,42.283683156967,United States,IONQ,0001824920
203,Jack Henry &amp; Associates,JKHY,15412117076.011,212.94180612564,United States,JKHY,0000779152
204,Align Technology,ALGN,15331847728.955,213.68429889679,United States,ALGN,0001097149
205,Lite-On Technology,2301.TW,15168712349.44,6.6829214011192,Taiwan,,
206,Lattice Semiconductor,LSCC,15129372551.548,110.60581970215,United States,LSCC,0000855658
207,Bentley Systems,BSY,14937844564.663,49.209348487854,United States,BSY,0001031308
208,Technoprobe,TPRO.MI,14714696849.755,22.980279283047,Italy,,
209,Dynatrace,DT,14673940062.017,48.671681308746,United States,DT,0001773383
210,WiseTech Global,WTC.AX,14413442797.249,42.885358333588,Australia,,
211,Dayforce,DAY,14312242317.822,89.431974124908,United States,DAY,0001725057
212,Confluent,CFLT,14114979214.36,39.288108873367,United States,CFLT,0001699838
213,SCREEN Holdings,7735.T,14106635332.79,149.20648268223,Japan,,
214,GoDaddy,GDDY,13969981047.568,103.3729159832,United States,GDDY,0001609711
215,Rubrik,RBRK,13840637454.985,69.154240512848,United States,RBRK,0001943896
216,Nutanix,NTNX,13545051512.925,50.092658853531,United States,NTNX,0001618732
217,SenseTime,0020.HK,13484970534.075,0.33358792031765,China,,
218,Nan Ya PCB,8046.TW,13316834059.935,20.609039007187,Taiwan,,
219,Rakuten,4755.T,13312830015.328,6.1490178922653,Japan,,
220,Alibaba Health Information Technology,0241.HK,13262915666.113,0.82252325059891,Hong Kong,,
221,Zebra Technologies,ZBRA,13233297130.21,261.21663784981,United States,ZBRA,0000877212
222,Sage Group,SGE.L,13209649180.945,14.222064983368,United Kingdom,,
223,Chewy,CHWY,13069107624.746,31.491934776306,United States,CHWY,0001766502
224,Amkor Technology,AMKR,13065881539.741,52.832201147079,United States,AMKR,0001047127
224,Amkor Technology,AMKR,13065881539.741,52.832201147079,United States,AMKR,0001361566
225,NextVision Stabilized Systems,NXSN.TA,12996311778.511,142.3307435894,Israel,,
226,Bilibili,BILI,12991280454.189,31.875982761383,China,,
227,Zillow,Z,12788130171.631,52.806597948074,United States,Z,0001293282
227,Zillow,Z,12788130171.631,52.806597948074,United States,Z,0001334814
227,Zillow,Z,12788130171.631,52.806597948074,United States,Z,0001617640
228,Instacart (Maplebear Inc.),CART,12673734586.895,48.274831724167,United States,CART,0001579091
228,Instacart (Maplebear Inc.),CART,12673734586.895,48.274831724167,United States,CART,0001676667
229,Xero,XRO.AX,12606244503.111,72.599534986973,New Zealand,,
230,Pro Medicus,PME.AX,12526190120.514,119.90234126091,Australia,,
231,Shenzhen Transsion Holdings,688036.SS,12405807437.636,10.776552882051,China,,
232,Wayfair,W,12342466388.096,94.398994731903,United States,W,0001616707
233,China Resources Microelectronics,688396.SS,12285714673.863,9.2545707171917,China,,
234,Global Unichip Corp.,3443.TW,12253965050.57,91.440033022881,Taiwan,,
235,Bitmine Immersion Technologies,BMNR,11966196859.702,26.307286977768,United States,BMNR,0001829311
236,InterDigital,IDCC,11942021540.864,463.86595797539,United States,IDCC,0000354913
236,InterDigital,IDCC,11942021540.864,463.86595797539,United States,IDCC,0001405495
237,DocuSign,DOCU,11916595638.892,59.501834487915,United States,DOCU,0001261333
238,National Silicon Industry Group,688126.SS,11878400832.702,3.5940490603447,China,,
239,Advantech,2395.TW,11867062635.244,13.70603250742,Taiwan,,
240,Onto Innovation,ONTO,11744902634.619,236.30472521782,United States,ONTO,0000704532
240,Onto Innovation,ONTO,11744902634.619,236.30472521782,United States,ONTO,0001094392
241,Nemetschek,NEM.F,11538344285.918,99.978059811115,Germany,,
242,Procore,PCOR,11350468189.561,73.00752196312,United States,PCOR,0001611052
243,Tempus AI,TEM,11335382538.916,63.406322336197,United States,TEM,0001717115
244,Hwatsing Technology,688120.SS,11273095149.345,31.876238793373,China,,
245,SailPoint,SAIL,11129666856.782,19.816876029968,United States,SAIL,0000090185
245,SailPoint,SAIL,11129666856.782,19.816876029968,United States,SAIL,0001161165
245,SailPoint,SAIL,11129666856.782,19.816876029968,United States,SAIL,0001627857
245,SailPoint,SAIL,11129666856.782,19.816876029968,United States,SAIL,0002030781
246,Powerchip Semiconductor Manufacturing,6770.TW,10910256799.278,2.576910773468,Taiwan,,
247,SiTime,SITM,10870756165.93,413.33804473877,United States,SITM,0001451809
248,Manhattan Associates,MANH,10821997843.396,179.59363942146,United States,MANH,0001056696
249,Unity Software,U,10769921018.55,24.873507833481,United States,U,0001810806
250,Skyworks Solutions,SWKS,10626126243.076,70.66482925415,United States,SWKS,0000004127
251,Aurora Innovation,AUR,10602868542.891,5.4406797885895,United States,AUR,0001828108
252,Chime Financial,CHYM,10515438493.137,27.677058124542,United States,CHYM,0001795586
253,Alchip Technologies,3661.TW,10342038039.687,127.65588603163,Taiwan,,
254,Rohm,6963.T,10232960942.191,26.507888041973,Japan,,
255,Allegro.eu,ALE.WA,10181612096.943,9.6663853715897,Poland,,
256,Snap,SNAP,10053898596.033,5.952743768692,United States,SNAP,0001564408
257,Kokusai Electric,6525.T,9998273357.2681,42.830183439732,Japan,,
258,Vipshop,VIPS,9908566153.8745,20.098511219025,China,,
259,Semtech,SMTC,9881255856.4551,106.77814145088,United States,SMTC,0000088941
260,Applied Digital,APLD,9835492247.937,35.178795433044,United States,APLD,0001144879
261,FactSet,FDS,9753153670.8203,260.64056587219,United States,FDS,0001013237
262,Realtek,2379.TW,9695866657.7044,18.808238005161,Taiwan,,
263,EPAM Systems,EPAM,9604399821.9727,173.85852284431,United States,EPAM,0001352010
264,Oracle Corp Japan,4716.T,9599287090.9998,74.904719009399,Japan,,
265,Empyrean Technology,301269.SZ,9494510131.4276,17.407102939606,China,,
266,Sangfor Technologies,300454.SZ,9481066183.5065,22.307555229187,China,,
267,Novatek Microelectronics,3034.TW,9448238700.0994,15.526804004669,Taiwan,,
268,Krafton,259960.KS,9363305380.8613,209.7593284893,South Korea,,
269,Nykaa,NYKAA.NS,9360308048.9181,3.2693364889622,India,,
270,Qorvo,QRVO,9348273448.2886,100.83819928169,United States,QRVO,0001604778
271,PB Fintech,POLICYBZR.NS,9275311370.7235,20.024645989895,India,,
272,Amdocs,DOX,9247853195.6274,85.668303871155,United States,,
273,Pegasystems,PEGA,9234073185.2368,54.406797885895,United States,PEGA,0001013857
274,NICE,NICE,9215806675.0781,151.51973171234,Israel,,
275,Match Group,MTCH,9096448739.7583,38.532814502716,United States,MTCH,0000891103
275,Match Group,MTCH,9096448739.7583,38.532814502716,United States,MTCH,0001036668
275,Match Group,MTCH,9096448739.7583,38.532814502716,United States,MTCH,0001095099
275,Match Group,MTCH,9096448739.7583,38.532814502716,United States,MTCH,0001575189
276,ServiceTitan,TTAN,9069124022.6172,96.844100236893,United States,TTAN,0001638826
277,"M3, Inc",2413.T,9053203756.3312,13.370374568462,Japan,,
278,Paycom,PAYC,8899944638.0103,162.09385290146,United States,PAYC,0001590955
279,Clearwater Analytics,CWAN,8856910944.9829,29.635702848434,United States,CWAN,0001866368
280,Sanmina,SANM,8832242733.8403,161.74820971489,United States,SANM,0000897723
280,Sanmina,SANM,8832242733.8403,161.74820971489,United States,SANM,0001350970
281,Silan Microelectronics,600460.SS,8831962249.5151,5.3074407409668,China,,
282,FormFactor,FORM,8817672915.9668,113.16613960266,United States,FORM,0001039399
283,Vanguard International Semiconductor,5347.TWO,8779115747.7012,4.561990800333,Taiwan,,
284,Paytm,PAYTM.NS,8661756097.2581,13.53308289814,India,,
285,Cirrus Logic,CRUS,8661714449.8145,169.73640780449,United States,CRUS,0000772406
286,Silicon Labs,SLAB,8525103317.5049,258.6819211483,United States,SLAB,0001038074
287,CD Projekt,CDR.WA,8521723175.4913,85.293601053715,Poland,,
288,Temenos,TEMN.SW,8474817743.6675,122.85170177031,Switzerland,,
289,Lumen Technologies,LUMN,8455642862.7319,8.2442300796509,United States,LUMN,0000018926
289,Lumen Technologies,LUMN,8455642862.7319,8.2442300796509,United States,LUMN,0001099561
290,D-Wave Quantum,QBTS,8443372990.4663,22.825251913071,Canada,QBTS,0001907982
291,Genpact,G,8420393853.0859,48.83810210228,Bermuda,G,0000041499
291,Genpact,G,8420393853.0859,48.83810210228,Bermuda,G,0001046203
291,Genpact,G,8420393853.0859,48.83810210228,Bermuda,G,0001398659
292,UBTECH Robotics,9880.HK,8412894096.1849,16.712104102612,China,,
293,CAR Group (Carsales),CAR.AX,8409743490.6908,22.22255260849,Australia,,
294,Zalando,ZAL.DE,8399549213.4415,32.375245141983,Germany,,
295,Yonyou,600588.SS,8388308952.0612,2.4548731254101,China,,
296,SG Micro,300661.SZ,8353367782.4784,13.515800738811,China,,
297,Dropbox,DBX,8306426271.9067,33.168944311142,United States,DBX,0001467623
298,GlobalWafers,6488.TWO,8274986964.506,17.307506495476,Taiwan,,
